title,contentid,cat1,cat2,cat3,firstimage,region,mapx,mapy,overview,homepage
올리브영 광주매곡,2903273,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/19/2886819_image2_1.jpg,광주광역시,126.8985666177,35.1882032176,-,
올리브영 광주선운지구점,3305944,쇼핑,쇼핑,사후면세점,,광주광역시,126.7691568304,35.1487582705,-,-
올리브영 광주송정역,2924447,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/88/2886988_image2_1.jpg,광주광역시,126.7915690015,35.1380931856,-,
올리브영 광주수완,2915031,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/64/2886964_image2_1.jpg,광주광역시,126.8243397964,35.1904239361,-,
올리브영 광주용봉지구,2927097,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/27/2886827_image2_1.jpg,광주광역시,126.8908203163,35.1788013705,-,
올리브영 광주평화방송,2931502,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/21/2886921_image2_1.jpg,광주광역시,126.8470858783,35.1555282619,-,www.OLIVEYOUNG.cO.KT
올리브영 광주하남콜럼버스,2930726,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/79/2886979_image2_1.jpg,광주광역시,126.8103778263,35.1630656811,-,
올리브영 광주황금,2912568,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/98/2886898_image2_1.jpg,광주광역시,126.9167271621,35.1467526502,-,
올리브영 광흥창역점,3305677,쇼핑,쇼핑,사후면세점,,서울특별시,126.9313341293,37.5496942476,-,-
올리브영 구로디지털,2924638,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/34/2880234_image2_1.jpg,서울특별시,126.8988250191,37.4852039361,-,
올리브영 구로디지털단지역점,3307273,쇼핑,쇼핑,사후면세점,,서울특별시,126.9030913276,37.4841180273,-,-
올리브영 구로호텔,2930657,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/61/2880261_image2_1.jpg,서울특별시,126.8988722923,37.4832374993,-,
올리브영 구리갈매점,3307246,쇼핑,쇼핑,사후면세점,,경기도,127.1165704888,37.6311825523,-,-
올리브영 구리수택점,3307212,쇼핑,쇼핑,사후면세점,,경기도,127.1390195572,37.5921958223,-,-
올리브영 구리역,2906147,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/63/2888663_image2_1.jpg,경기도,127.1424439655,37.6019975228,-,http//www.oliveyoung.co.kr/
올리브영 구미형곡,2912488,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/82/2883782_image2_1.jpg,경상북도,128.3388341054,36.1136292941,-,
올리브영 구미확장단지,2930915,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/66/2883766_image2_1.jpg,경상북도,128.4340550499,36.1558651343,-,
올리브영 구월아시아드,2907418,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/62/2882462_image2_1.jpg,인천광역시,126.7008997299,37.4451828474,-,
올리브영 구일역,2923783,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/27/2880227_image2_1.jpg,서울특별시,126.8744602744,37.4957967164,-,www.oliveyoung.co.kr
올리브영 국회의사당역점,3307297,쇼핑,쇼핑,사후면세점,,서울특별시,126.9178942961,37.5281242915,-,-
올리브영 군산나운,2910232,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/13/2888713_image2_1.jpg,전북특별자치도,126.7035669673,35.9646422852,-,
올리브영 군자역,2930912,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/96/2878796_image2_1.jpg,서울특별시,127.0789510309,37.5569710527,-,oliveyoung.co.kr
올리브영 금호,2928868,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/65/2878765_image2_1.jpg,서울특별시,127.0225841927,37.5481349544,-,
올리브영 김포공항,2916183,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/82/2888382_image2_1.jpg,서울특별시,126.8029148466,37.5652540347,-,
올리브영 김포공항국내선청사점,3307508,쇼핑,쇼핑,사후면세점,,서울특별시,126.8084867976,37.5568078938,-,-
올리브영 김포구래,2918267,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/04/2880504_image2_1.jpg,경기도,126.6268287153,37.6442889327,-,
올리브영 김포라베니체,2930759,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/11/2880511_image2_1.jpg,경기도,126.6785935603,37.6395459582,-,
올리브영 김포사우,2930741,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/13/2880513_image2_1.jpg,경기도,126.71851548,37.6192823587,-,
올리브영 김해삼계,2914101,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/28/2885928_image2_1.jpg,경상남도,128.8702470399,35.2609353618,-,
올리브영 김해장유대청점,3306234,쇼핑,쇼핑,사후면세점,,경상남도,128.802582561,35.1933278177,-,-
올리브영 김해장유부곡점,3307625,쇼핑,쇼핑,사후면세점,,경상남도,128.8079957283,35.2024963329,-,-
올리브영 김해장유율하점,3305422,쇼핑,쇼핑,사후면세점,,경상남도,128.8148542687,35.1728470054,-,-
올리브영 남부터미널,2924839,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/42/2888942_image2_1.jpg,서울특별시,127.0150366641,37.4850699205,-,
올리브영 남양주다산점,3305697,쇼핑,쇼핑,사후면세점,,경기도,127.1553865541,37.6256783383,-,-
올리브영 남양주덕소점,3307666,쇼핑,쇼핑,사후면세점,,경기도,127.2124852635,37.5861978488,-,-
올리브영 남양주도농점,3306588,쇼핑,쇼핑,사후면세점,,경기도,127.1568258034,37.608480363,-,-
올리브영 남양주별내점,3305347,쇼핑,쇼핑,사후면세점,,경기도,127.1215306261,37.6494388527,-,-
올리브영 남양주장현점,3305940,쇼핑,쇼핑,사후면세점,,경기도,127.1809815806,37.7177236543,-,-
