title,contentid,cat1,cat2,cat3,firstimage,region,mapx,mapy,overview,homepage
롯데마트_강변점,2894593,쇼핑,쇼핑,사후면세점,,서울특별시,127.0957084403,37.5357793715,-,
롯데마트_거제점,2905118,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/49/2887949_image2_1.jpg,경상남도,128.6909615993,34.8880238606,-,
롯데마트_검단점,2894461,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/87/2882787_image2_1.jpg,인천광역시,126.664587766,37.5945870548,-,lottemart.com
롯데마트_경기양평점,2905148,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/57/2887957_image2_1.jpg,경기도,127.5026700103,37.4895115772,-,
롯데마트_계양점,2894636,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/05/2882405_image2_1.jpg,인천광역시,126.736016079,37.5409028995,-,
롯데마트_고양점,2894466,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/17/2887817_image2_1.jpg,경기도,126.8361573455,37.6252420942,-,
롯데마트_광교점,2904991,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/68/2882068_image2_1.jpg,경기도,127.0512749363,37.2911763865,-,
롯데마트_광복점,2904983,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/70/2885770_image2_1.jpg,부산광역시,129.0367814147,35.0983538674,-,
롯데마트_구미점,2894602,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/73/2883773_image2_1.jpg,경상북도,128.3654317452,36.1138325373,-,
롯데마트_권선점,2894469,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/20/2887820_image2_1.jpg,경기도,127.034710916,37.2503086002,-,
롯데마트_김천점,2905117,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/93/2883793_image2_1.jpg,경상북도,128.1178141832,36.1360143745,-,
롯데마트_김포한강점,2905020,쇼핑,쇼핑,사후면세점,,경기도,126.6779463494,37.6412318617,-,
롯데마트_남악점,2905007,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/90/2886490_image2_1.jpg,전라남도,126.4641006281,34.802145076,-,
롯데마트_노은점,2894457,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/31/2883531_image2_1.jpg,대전광역시,127.3215644505,36.3844106115,-,m.lottemart.com
롯데마트_당진점,2894458,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/13/2883313_image2_1.jpg,충청남도,126.6462722531,36.9058249109,-,Lottemart.com
롯데마트_덕소점,2905058,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/45/2887945_image2_1.jpg,경기도,127.2152989329,37.5849063829,-,http//company.lottemart.com/deokso.mart
롯데마트_동두천점,2894460,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/75/2881275_image2_1.jpg,경기도,127.053616281,37.8811606404,-,
롯데마트_동래점,2894456,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/80/2885480_image2_1.jpg,부산광역시,129.0775081019,35.2117474758,-,
롯데마트_롯데몰수지점,2905076,쇼핑,쇼핑,사후면세점,,경기도,127.0816826797,37.3128494207,-,
롯데마트_마석점,2894629,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/51/2881351_image2_1.jpg,경기도,127.3093135006,37.6501921741,-,lottemart.com
롯데마트_목포점,2894570,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/55/2886655_image2_1.jpg,전라남도,126.4294788036,34.7972839439,-,
