title,contentid,cat1,cat2,cat3,firstimage,region,mapx,mapy,overview,homepage
올리브영 롯데아울렛남악점,3307683,쇼핑,쇼핑,사후면세점,,전라남도,126.4641006281,34.802145076,-,-
올리브영 롯데월드몰점,3306551,쇼핑,쇼핑,사후면세점,,서울특별시,127.1040749597,37.5141653654,-,-
올리브영 마두역,2930970,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/57/2889157_image2_1.jpg,경기도,126.7781285392,37.652665645,-,
올리브영 마린시티,2918292,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/98/2885698_image2_1.jpg,부산광역시,129.1467203101,35.1548273544,-,www.oliveyoung.co.kr
올리브영 마포구청역,2918543,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/33/2888433_image2_1.jpg,서울특별시,126.9027668613,37.56484753,-,
올리브영 마포도화,2924559,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/04/2888904_image2_1.jpg,서울특별시,126.9472274399,37.5385652696,-,
올리브영 마포역,2924526,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/94/2888894_image2_1.jpg,서울특별시,126.9470718157,37.5414843719,-,
올리브영 메세나점,2926902,쇼핑,쇼핑,사후면세점,,서울특별시,126.9136829551,37.5498911308,-,
올리브영 명동 타운,3305676,쇼핑,쇼핑,사후면세점,,서울특별시,126.9851899237,37.5641435337,-,-
올리브영 명동대로,2930204,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/61/2878761_image2_1.jpg,서울특별시,126.9850955873,37.5606328285,-,www.oliveyoung.co.kr
올리브영 명동본점,2916182,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/81/2888381_image2_1.jpg,서울특별시,126.9851899237,37.5641435337,-,
올리브영 명동역,2929480,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/27/2878627_image2_1.jpg,서울특별시,126.9858621676,37.5612077753,-,www.oliveyoung.co.kr
올리브영 명동점,3305662,쇼핑,쇼핑,사후면세점,,서울특별시,126.9845289023,37.5631047532,-,-
올리브영 명동타임워크점,3306354,쇼핑,쇼핑,사후면세점,,서울특별시,126.9830206742,37.5642379283,-,-
올리브영 모란중앙,2909378,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/47/2881647_image2_1.jpg,경기도,127.1295388596,37.4321086796,-,www.oliveyoung.com
올리브영 목동역,2929188,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/21/2880121_image2_1.jpg,서울특별시,126.8638075978,37.5267568178,-,Oliveyoung.co.kr
올리브영 목포평화광장,2911829,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/53/2886653_image2_1.jpg,전라남도,126.4326534937,34.7984894148,-,
올리브영 무교동점,3305650,쇼핑,쇼핑,사후면세점,,서울특별시,126.9794958849,37.5681540761,-,-
올리브영 문래,3307525,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/28/3314428_image2_1.jpg,서울특별시,126.8890582725,37.519699755,-,
올리브영 문정역,2912528,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/15/2879515_image2_1.jpg,서울특별시,127.1223102349,37.4851718374,-,www.oliveyoung.com
올리브영 미금역사거리점,3306509,쇼핑,쇼핑,사후면세점,,경기도,127.10950686,37.3509399509,-,-
올리브영 미사강변점,3306309,쇼핑,쇼핑,사후면세점,,경기도,127.187455065,37.5562092116,-,-
올리브영 미아역,2927066,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/20/2889020_image2_1.jpg,서울특별시,127.0268121597,37.6256899045,-,
올리브영 발산,2923921,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/12/2880112_image2_1.jpg,서울특별시,126.8384062644,37.5577472069,-,
올리브영 발산역,2912492,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/19/2880119_image2_1.jpg,서울특별시,126.8383173162,37.5601469262,-,
올리브영 방배이수,2904115,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/77/2889677_image2_1.jpg,서울특별시,126.9827589905,37.4870579999,-,
올리브영 배명사거리,2922501,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/29/2879329_image2_1.jpg,서울특별시,127.097289807,37.502163859,-,www.oliveyoung.com
올리브영 범계 타운,3307760,쇼핑,쇼핑,사후면세점,,경기도,126.9535254761,37.3905409005,-,-
올리브영 범계역사거리점,3306221,쇼핑,쇼핑,사후면세점,,경기도,126.9504368438,37.3913990792,-,-
올리브영 별내미리내마을점,3307700,쇼핑,쇼핑,사후면세점,,경기도,127.1124536457,37.650463569,-,-
올리브영 병점역점,3307706,쇼핑,쇼핑,사후면세점,,경기도,127.0338788548,37.2074357702,-,-
올리브영 보라매,2922550,쇼핑,쇼핑,사후면세점,,서울특별시,126.924108655,37.4913286766,-,
올리브영 봉은사역,2912376,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/68/2879768_image2_1.jpg,서울특별시,127.0605955673,37.514736739,-,oliveroung.co.kr
올리브영 부산W스퀘어점,3306326,쇼핑,쇼핑,사후면세점,,부산광역시,129.1125849531,35.1342484706,-,-
올리브영 부산개금점,3305947,쇼핑,쇼핑,사후면세점,,부산광역시,129.0252226004,35.1528142243,-,-
올리브영 부산거제점,3305550,쇼핑,쇼핑,사후면세점,,부산광역시,129.0667345562,35.1929243857,-,-
올리브영 부산괴정역,2912383,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/21/2885921_image2_1.jpg,부산광역시,128.9937323464,35.0996140456,-,
올리브영 부산구서역,2908834,쇼핑,쇼핑,사후면세점,,부산광역시,129.0907059971,35.246516046,-,www.oliveyoung.co.kr
올리브영 부산기장,2912558,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/39/2884639_image2_1.jpg,부산광역시,129.2165061926,35.2452879631,-,
올리브영 부산남포,2911316,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/56/2885856_image2_1.jpg,부산광역시,129.0319595956,35.0989426013,-,www.oliveyoung.com
올리브영 부산다대포점,3307352,쇼핑,쇼핑,사후면세점,,부산광역시,128.9653945298,35.0486331195,-,-
