title,contentid,cat1,cat2,cat3,firstimage,region,mapx,mapy,overview,homepage
올리브영 제주동문시장,2911579,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/95/2887395_image2_1.jpg,제주특별자치도,126.5259865165,33.5129983678,-,
올리브영 제주서귀포점,3305760,쇼핑,쇼핑,사후면세점,,제주특별자치도,126.5631198324,33.2481310088,-,-
올리브영 제주아라일동점,3307504,쇼핑,쇼핑,사후면세점,,제주특별자치도,126.5361751504,33.4852293821,-,-
올리브영 제주연동,2901162,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/24/2887124_image2_1.jpg,제주특별자치도,126.4903512436,33.4901697717,-,
올리브영 제주외도,2912411,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/02/2887002_image2_1.jpg,제주특별자치도,126.4311231627,33.4856137801,-,www.oliveyoung.co.kr
올리브영 제주일도이동점,3306640,쇼핑,쇼핑,사후면세점,,제주특별자치도,126.5407270366,33.507060371,-,-
올리브영 제주제원점,3306257,쇼핑,쇼핑,사후면세점,,제주특별자치도,126.4902596546,33.4870701135,-,-
올리브영 제주중문,2918547,쇼핑,쇼핑,사후면세점,,제주특별자치도,126.4124133884,33.2510449721,-,
올리브영 제주탑동,2901481,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/85/2887285_image2_1.jpg,제주특별자치도,126.5230422358,33.5170534269,-,
올리브영 제주하귀,2913804,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/97/2886997_image2_1.jpg,제주특별자치도,126.4086584817,33.484238576,-,
올리브영 제주한라대점,3307452,쇼핑,쇼핑,사후면세점,,제주특별자치도,126.4754278099,33.4782958492,-,-
올리브영 제주한라병원,2931360,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/35/2889335_image2_1.jpg,제주특별자치도,126.4859599589,33.4901447049,-,
올리브영 제주함덕,2902838,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/65/2887665_image2_1.jpg,제주특별자치도,126.6686317796,33.5425196032,-,
올리브영 제주협재점,3307688,쇼핑,쇼핑,사후면세점,,제주특별자치도,126.2405695841,33.3934182013,-,-
올리브영 종각,2917290,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/24/2878224_image2_1.jpg,서울특별시,126.9842926034,37.5704900019,-,www.o1iveyoung.co.kr
올리브영 종로1가,2901917,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/16/2878216_image2_1.jpg,서울특별시,126.9799374337,37.5708982096,-,www.o1iveyoung.co.kr
올리브영 종로YBM,2930277,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/27/2878227_image2_1.jpg,서울특별시,126.9891088427,37.5700845799,-,www.o1iveyoung.co.kr
올리브영 종암,2907137,쇼핑,쇼핑,사후면세점,,서울특별시,127.0331817244,37.6010678819,-,
올리브영 중계역,2903047,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/41/2889641_image2_1.jpg,서울특별시,127.0622888443,37.6480518323,-,
올리브영 중랑점,3305317,쇼핑,쇼핑,사후면세점,,서울특별시,127.0763307826,37.5936139699,-,-
올리브영 증미역,2907219,쇼핑,쇼핑,사후면세점,,서울특별시,126.8643622469,37.5571699591,-,
올리브영 지행역,2913487,쇼핑,쇼핑,사후면세점,,경기도,127.0528215745,37.8927537184,-,
올리브영 진주평거점,3307226,쇼핑,쇼핑,사후면세점,,경상남도,128.0621423418,35.1716224697,-,-
올리브영 진해신항점,3307013,쇼핑,쇼핑,사후면세점,,경상남도,128.8149787652,35.0884314676,-,-
올리브영 창원감계점,3306199,쇼핑,쇼핑,사후면세점,,경상남도,128.5940311653,35.3020201431,-,-
올리브영 창원고인돌사거리,2909782,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/81/2886281_image2_1.jpg,경상남도,128.683181154,35.219772671,-,
