title,contentid,cat1,cat2,cat3,firstimage,region,mapx,mapy,overview,homepage
올리브영 서면역사,2906039,쇼핑,쇼핑,사후면세점,,부산광역시,129.0590028566,35.1578365066,-,
올리브영 서면중앙,2925699,쇼핑,쇼핑,사후면세점,,부산광역시,129.0596167549,35.1555312207,-,
올리브영 서울숲역점,3305770,쇼핑,쇼핑,사후면세점,,서울특별시,127.0449267782,37.5419388532,-,-
올리브영 서울시립대,2902422,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/94/2889594_image2_1.jpg,서울특별시,127.0536331237,37.5839980121,-,
올리브영 서초대로,2912379,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/40/2888240_image2_1.jpg,서울특별시,127.0159502117,37.4942105422,-,
올리브영 서초역,2904010,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/69/2889669_image2_1.jpg,서울특별시,127.0088898616,37.4900275678,-,
올리브영 서초타운,2902037,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/84/2889584_image2_1.jpg,서울특별시,127.0280157567,37.4950523274,-,
올리브영 서판교점,3307457,쇼핑,쇼핑,사후면세점,,경기도,127.0763615071,37.391451327,-,-
올리브영 석계역,2908905,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/30/2888130_image2_1.jpg,서울특별시,127.0639285081,37.6156084116,-,
올리브영 석촌역,2924958,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/26/2879326_image2_1.jpg,서울특별시,127.1085331038,37.506555218,-,www.oliveyoung.com
올리브영 선릉로,2925795,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/87/2888587_image2_1.jpg,서울특별시,127.0512745064,37.5036739667,-,
올리브영 선릉역,2906647,쇼핑,쇼핑,사후면세점,,서울특별시,127.0483191731,37.5053320544,-,
올리브영 선릉타운,2902462,쇼핑,쇼핑,사후면세점,,서울특별시,127.0508828223,37.5055515194,-,"<a href=""https://www.oliveyoung.co.kr"" target=""_blank"" title=""새창"">/www.oliveyoung.co.kr</a>"
올리브영 선정릉역,2930910,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/71/2879771_image2_1.jpg,서울특별시,127.044030523,37.5106980211,-,oliveyoung.co.kr
올리브영 성남수정,2923327,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/42/2881642_image2_1.jpg,경기도,127.1411513703,37.4435214534,-,www.oliveyoung.com
올리브영 성남위례점,3306535,쇼핑,쇼핑,사후면세점,,경기도,127.1501247143,37.4731348464,-,-
올리브영 성동성수,2912440,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/82/2878782_image2_1.jpg,서울특별시,127.0552591018,37.5443526477,-,
올리브영 성수역,2924769,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/85/2878785_image2_1.jpg,서울특별시,127.0544980314,37.545363627,-,
올리브영 세종로,2930567,쇼핑,쇼핑,사후면세점,,서울특별시,126.9763960916,37.5708314872,-,www.o1iveyoung.co.kr
올리브영 세종몰리브,2927117,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/66/2883166_image2_1.jpg,세종특별자치시,127.2476456417,36.5027290799,-,
올리브영 센텀중앙로,2902005,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/23/2885623_image2_1.jpg,부산광역시,129.1292574242,35.1736165939,-,www.oliveyoung.co.kr
올리브영 송내남부역점,3305575,쇼핑,쇼핑,사후면세점,,경기도,126.7528549447,37.4867761569,-,-
올리브영 송내로데오,2904552,쇼핑,쇼핑,사후면세점,,경기도,126.7525187713,37.4901118746,-,
올리브영 송산그린시티점,3306244,쇼핑,쇼핑,사후면세점,,경기도,126.8181324152,37.2842702599,-,-
올리브영 수성구청역,2930986,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/42/2884142_image2_1.jpg,대구광역시,128.638034242,35.8585470675,-,
올리브영 수원 타운,3306477,쇼핑,쇼핑,사후면세점,,경기도,127.0319608143,37.2628765404,-,-
올리브영 수원AK역사,2902354,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/88/2882188_image2_1.jpg,경기도,127.0006857844,37.266100609,-,
올리브영 수원경기대점,3307289,쇼핑,쇼핑,사후면세점,,경기도,127.0436587331,37.2993141969,-,-
올리브영 수원권선점,3305322,쇼핑,쇼핑,사후면세점,,경기도,127.0350053151,37.2509779724,-,-
올리브영 수원망포,2911752,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/92/2889492_image2_1.jpg,경기도,127.0558093243,37.2387964212,-,
올리브영 수원매탄,2924761,쇼핑,쇼핑,사후면세점,,경기도,127.0447097612,37.2591688645,-,
올리브영 수원성대,2918379,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/30/2888430_image2_1.jpg,경기도,126.9718263942,37.2983019206,-,
올리브영 수원시청역,2918281,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/23/2888423_image2_1.jpg,경기도,127.0316414811,37.2599324316,-,
올리브영 수원엘포트몰,2928891,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/04/2889204_image2_1.jpg,경기도,127.0577966795,37.2871380819,-,
올리브영 수원영통역점,3306668,쇼핑,쇼핑,사후면세점,,경기도,127.0745072049,37.2539200049,-,-
올리브영 수원장안구청사거리,2914520,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/31/2888331_image2_1.jpg,경기도,127.0097339686,37.3016966474,-,
올리브영 수원정자,2907813,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/98/2888098_image2_1.jpg,경기도,126.9936244912,37.2955804016,-,
올리브영 수원중앙점,3307711,쇼핑,쇼핑,사후면세점,,경기도,127.0018939598,37.2678365406,-,-
올리브영 수원천천,2922762,쇼핑,쇼핑,사후면세점,,경기도,126.9831448566,37.2966606459,-,
올리브영 수원탑동점,3307097,쇼핑,쇼핑,사후면세점,,경기도,126.9746490067,37.2751574294,-,-
올리브영 수원터미널,2912762,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/03/2882103_image2_1.jpg,경기도,127.0227814504,37.2500445298,-,
올리브영 수원호매실점,3307021,쇼핑,쇼핑,사후면세점,,경기도,126.9418659162,37.2735514761,-,-
올리브영 숙대,2902784,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/25/2889625_image2_1.jpg,서울특별시,126.9693947017,37.5443205537,-,
올리브영 숙대입구역,2907646,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/87/2888087_image2_1.jpg,서울특별시,126.9719417072,37.5437817729,-,
