title,contentid,cat1,cat2,cat3,firstimage,region,mapx,mapy,overview,homepage
롯데백화점 동래점,2917189,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/93/2885493_image2_1.jpg,부산광역시,129.0775081019,35.2117474758,-,
롯데백화점 미아점,2909101,쇼핑,쇼핑,사후면세점,,서울특별시,127.0305315802,37.6146468109,-,
롯데백화점 본점,132668,쇼핑,쇼핑,백화점,http://tong.visitkorea.or.kr/cms/resource/24/2997124_image2_1.jpg,서울특별시,126.9817152234,37.5647378465,"롯데백화점 본점은 매일 새로움과 즐거운 경험을 제공한다. 롯데백화점 본점의 본관, 에비뉴엘관에는 더욱 다양해진 프리미엄 여성, 남성해외패션 브랜드들이 준비 되어있다. 갤러리에 온 듯한, 특별한 미술품들도 매장에서 감상할 수 있다.","<a href=""https://www.lotteshopping.com/"" target=""_blank"" title=""새창: 롯데백화점 본점 홈페이지로 이동"">https://www.lotteshopping.com/</a>"
롯데백화점 본점,2902442,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/29/3009329_image2_1.jpg,서울특별시,126.9817485525,37.5647822864,-,
롯데백화점 본점 에비뉴엘,273806,쇼핑,쇼핑,백화점,http://tong.visitkorea.or.kr/cms/resource/56/668856_image2_1.jpg,서울특별시,126.9815930278,37.5641934634,"롯데백화점에서 운영하는 에비뉴엘은 서울 중구에 위치한 가든&갤러리 콘셉트의 명품 백화점이다. 롯데백화점 본점과 연결되어 있으며, 해외 패션 브랜드 및 보석 브랜드의 매장만 입점해 있는 고품격 백화점이다. 따로 포토존이 만들어져 있으며 독특한 인테리어로 꾸며져 있다. 지하 1층부터 5층까지는 샤넬, 구찌, 루이뷔통 등의 명품매장이 들어서 있고, 6층부터 8층까지는 최신 영화를 상영하는 극장이 있다. 9층에는 다양한 테마의 전시회를 감상할 수 있는 갤러리와 레스토랑이 있으며, 10층에는 피부 클리닉 센터와 스파가 있다. 쇼핑을 즐기고 다양한 서비스도 받을 수 있는 신개념의 백화점이다.","<a href=""https://global.lotteshopping.com"" target=""_blank"" title=""새창 : 롯데백화점 본점 홈페이지로 이동"">https://global.lotteshopping.com</a>"
롯데백화점 부산본점,132607,쇼핑,쇼핑,백화점,http://tong.visitkorea.or.kr/cms/resource/36/1960436_image2_1.jpg,부산광역시,129.0562420097,35.1569754411,"부산 지역에 본격적인 백화점 문화를 탄생시킨 롯데백화점 부산점은 롯데백화점 지방화 전략의 첫 결실로써 부산의 문화 혁신을 주도하고 있다. 부산점은 교통의 요지에 호텔과 함께 조성된 롯데타운의 주축으로서 쇼핑과 레저를 동시에 즐길 수 있는 부산지역의 복합생활 문화공간이다. 또한 백화점과 롯데 시네마, 식당가, 명품가 및 지하상가 등의 다양한 시설로 구성되어 있으며, 상품기획, 인테리어, 매장 구성 등 롯데백화점 고유의 노하우를 총집결하여 만든 걸작품으로 초현대식 백화점이다.","<a href=""https://global.lotteshopping.com"" target=""_blank"" title=""새창 : 롯데백화점 본점 홈페이지로 이동"">https://global.lotteshopping.com</a>"
롯데백화점 부산점,2908259,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/35/3009335_image2_1.jpg,부산광역시,129.0559892441,35.1573337296,-,
롯데백화점 분당점,2911601,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/57/2881757_image2_1.jpg,경기도,127.1143334228,37.3785007322,-,
롯데백화점 센텀시티점,2917200,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/87/2885587_image2_1.jpg,부산광역시,129.131096255,35.1698920451,-,www.lotteshopping.com
롯데백화점 영등포점,2908321,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/60/3007960_image2_1.jpg,서울특별시,126.9076761334,37.5156700003,-,
롯데백화점 울산점,2917191,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/80/2884280_image2_1.jpg,울산광역시,129.3387790086,35.5389628501,-,
롯데백화점 인천점,132659,쇼핑,쇼핑,백화점,http://tong.visitkorea.or.kr/cms/resource/27/3007027_image2_1.jpg,인천광역시,126.7023441253,37.4422082182,"매일 새로움과 즐거운 경험을 제공하는 롯데백화점 인천점은 유명 해외 명품과 국내외 다양한 패션 및 라이프스타일 매장, 트렌디한 푸드 에비뉴 매장이 입점되어 있다. 인천 지역 최고의 프리미엄 쇼핑 공간에서 즐거운 쇼핑 Life와 재미, 편리함을 모두 즐길 수 있다. 백화점 내에 다양한 부대시설이 있으며 특히 놀이방이 있어 아이와 방문했을 때 편안한 쇼핑이 가능하다.","<a href=""https://www.lotteshopping.com/store/main?cstrCd=0344"" target=""_blank"" title=""롯데백화점 인천점 홈페이지로 이동"">https://www.lotteshopping.com/</a>"
롯데백화점 일산점,2908596,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/04/3007904_image2_1.jpg,경기도,126.7721399755,37.6605257341,-,
롯데백화점 잠실,2923949,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/61/2879261_image2_1.jpg,서울특별시,127.0976311526,37.5123821225,-,www.lotteshopping.com
롯데백화점 잠실점,3009860,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/43/3009743_image2_1.jpg,서울특별시,127.0976311526,37.5123821225,"- 매일 새로움과 즐거운 경험을 제공하는 롯데백화점 잠실점입니다. 규모와 시설, 매장과 브랜드, 스토리와 디자인 등 모든면에서 세계 최고를 지향하며 프리미엄 라이프를 실현합니다.
엔터테인먼트와 체험을 즐기는 스마트 쇼퍼, 플레이 쇼퍼들을 위한 곳으로서 트렌드와 문화의 흐름까지 이끌어 가는 공간입니다.",
롯데백화점 전주점,2908845,쇼핑,쇼핑,사후면세점,,전북특별자치도,127.1218524729,35.8345059826,-,
롯데백화점 중동점,2911500,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/85/2889885_image2_1.jpg,경기도,126.7753246763,37.5025941622,-,
롯데백화점 창원점,2908738,쇼핑,쇼핑,사후면세점,,경상남도,128.6818394739,35.2245998827,-,
롯데백화점 청량리점,2911584,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/07/2889907_image2_1.jpg,서울특별시,127.0474754499,37.5805510796,-,
롯데백화점 평촌점,2900778,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/12/3007912_image2_1.jpg,경기도,126.950436882,37.3900381258,-,https://www.lotteshopping.com/branchShopGuide/floorGuideSub?cstr=0341
롯데부여리조트,1086973,인문(문화/예술/역사),휴양관광지,관광단지,,충청남도,126.9006737675,36.3038735601,"롯데부여리조트는 100만 평 대지 위에 문화와 역사체험, 휴식과 휴양, 놀이와 스포츠 등 개인뿐만 아니라 가족단위의 다양한 활동이 가능한 테마리조트이다. 충청남도에서 추진하는 백제역사문화관광단지의 일환이다. 백제의 옛 도읍지에 위치해 휴양뿐만 아니라 역사적 체험도 즐길 수 있는 곳이다. 환경적 특성으로 기존 부여와 인근 공주지역에 잔존하는 백제유적지에 더하여 충청남도가 조성 중인 역사재현촌과 백제역사문화관의 연계로 백제역사문화관광단지가 완성되었다.","<a href=""http://www.lotteresort.com/buyeo/ko/about"" target=""_blank"" title=""새창 : 롯데부여리조트 홈페이지로 이동"">www.lotteresort.com/buyeo/ko/about</a>"
롯데쇼핑 롯데아울렛 서울역점[한국관광 품질인증/Korea Quality],1336178,쇼핑,쇼핑,전문매장/상가,http://tong.visitkorea.or.kr/cms/resource/32/2652032_image2_1.jpg,서울특별시,126.9717164149,37.5548277077,"롯데아울렛 서울역점은 백화점 유명브랜드 상품을 30~70% 할인된 합리적인 가격으로 판매하고 있다. 노스페이스 아울렛 1호점을 비롯해 미샤, 시스템, 텐디 등 84개의 브랜드가 입점해 있다. 최신 트랜드를 한발 먼저 만나는 패션 아울렛으로 교통의 중심지 서울역에 위치하고 있다. 3,400평 규모의 3층 매장으로 구성되어 있으며, 물품 유료 보관함 등의 다양한 편의 시설을 제공해 방문객의 편리한 쇼핑을 돕는다.","<a href=""https://www.lotteshopping.com/store/main?cstr=0343"" target=""_blank"" title=""새창 : 롯데쇼핑 롯데아울렛 서울역점 홈페이지로 이동"">https://www.lotteshopping.com/store/main?cstr=0343</a>"
롯데슈퍼_공덕점,2894251,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/64/2878364_image2_1.jpg,서울특별시,126.9503158589,37.5452284392,-,
롯데시티호텔 구로,2505908,숙박,숙박시설,관광호텔,http://tong.visitkorea.or.kr/cms/resource/65/2505865_image2_1.jpg,서울특별시,126.8966252225,37.4850844673,"롯데시티호텔구로는 서울 서남권의 랜드마크 호텔로서 IT 산업의 메카인 구로디지털 밸리에 위치한 프리미엄 업 스케일 호텔이다.
20층 규모의 탁 트인 시내 전망을 갖춘 283실의 고급스러운 객실과 스타일리시한 뷔페 레스토랑이 준비되어 있으며 야외 테라스와 연회장에서는 고품격 웨딩 및 다양한 연회를 즐기실 수 있다. 성공적인 비즈니스 환경과 도심 속의 여유를 롯데시티호텔구로에서 만나보길 바란다.","<a href=""https://www.lottehotel.com/guro-city/ko.html"" target=""_blank"" title=""새창 : 롯데시티호텔 구로 홈페이지로 이동"">https://www.lottehotel.com/guro-city/ko.html</a>"
롯데시티호텔 김포공항,1556008,숙박,숙박시설,관광호텔,,서울특별시,126.8029424505,37.5713561035,"롯데몰 김포공항 내 위치한 롯데시티호텔 김포공항은 인천국제공항 및 서울 도심으로의 편리한 접근성을 자랑하며, 편안한 휴식뿐만 아니라 쇼핑, 레저 등의 엔터테인먼트를 원스탑으로 즐길 수 있는 객실 특화형 프리미엄급 비즈니스 호텔이다. 롯데시티호텔 김포공항이 위치한 친환경 몰링파크 롯데몰 김포공항은 복합쇼핑몰&엔터테인먼트 공간으로 롯데시티호텔은 물론, 롯데백화점, 롯데마트, 롯데시네마 등의 시설을 갖추고 있다. 또한 레이크파크, 하늘숲 정원, 씨네 플라자 등 6개의 테마로 구성된 4만평 규모의 국내 최대규모 생태테마파크가 조성되어 차별화된 휴식공간을 제공한다. 객실특화형 프리미엄 비즈니스호텔 롯데시티호텔 김포공항에는 스탠다드, 수페리어, 비즈니스, 온돌, 스위트 등 다양한 종류의 객실이 준비되어 있다. 특히 비즈니스 더블은 김포국제공항 국제선청사 활주로가 내려다보이는 탁 트인 전망을 갖춘 객실로, 비즈니스 라운지까지 사용 가능해 비즈니스 고객에게 특화된 객실이다.","<a href=""https://www.lottehotel.com/"" target=""_blank"" title=""새창: 롯데시티호텔 김포공항 홈페이지로 이동"">https://www.lottehotel.com/</a>"
